question_type,os_topic,answer
q,fm,a
q,fm,b
q,fm,d
mq,fm,a
mq,fm,d
mq,fm,e
mq,fm,c
mq,fm,d
mq,fm,c
q,fm,c
mq,fm,c
mq,fm,b
q,fm,b
mq,fm,b
q,fm,b
mq,fm,c
mq,fm,e
mq,fm,a
q,fm,b
qc,fm,b
qc,f,b
qc,f,e
qc,f,c
q,f,c
qc,f,d
q,f,b
q,f,b
qc,f,d
qc,f,b
dq,f,b
dq,f,b
dq,f,b
dqc,f,b
q,f,d
q,f,e
qd,f,c
qd,f,c
q,f,c
q,f,b
qm,f,e
qm,f,c
qm,f,a
qm,f,d
qm,f,e
qm,f,b
qm,f,a
qm,f,d
q,f,e
q,f,d
qd,f,d
qd,f,b
qd,f,d
qd,f,c
qd,f,d
qd,f,c
qd,f,c
qd,f,c
qd,f,c
qd,f,d
qdc,f,e
qdc,fm,c
qdc,fm,e
qd,fm,e
qd,fm,a
qd,fm,b
qd,fm,c
qm,fm,a
qm,fm,b
q,fm,a
qdm,fm,a
qdm,m,c
qd,m,c
qdm,m,c
qdm,m,a
qdm,m,a
q,m,b
q,m,e
q,m,c
q,m,b
q,m,e
