question_type,os_topic,answer
cq,s,a
cq,s,a
cq,s,a
cq,s,a
cq,s,a
cq,s,a
cq,s,b
cq,s,b
cq,s,a
cq,s,b
cq,s,b
cq,s,b
cq,s,a
cq,s,a
cq,s,b
q,s,a
q,s,a
q,s,b
q,s,a
q,s,b
cq,p,b
cq,p,a
cq,p,b
cq,p,b
cq,p,b
cq,p,a
cq,p,a
cq,p,b
cq,p,b
cq,p,b
cq,p,b
cq,p,b
cq,p,a
cq,p,b
cq,p,b
cq,p,b
cq,p,a
cq,p,a
cq,p,b
cq,p,a
cqm,p,a
cqm,p,b
cqm,p,a
cqm,p,b
cqm,p,b
q,p,b
q,p,a
q,p,b
q,p,a
q,p,a
q,p,a
q,p,b
q,p,a
q,p,a
q,p,a
qm,m,b
qm,m,b
qm,m,a
qm,m,a
qm,m,b
qm,m,a
qm,m,b
qm,m,b
qm,m,b
qm,m,b
q,m,b
q,m,a
q,m,a
q,m,b
q,m,b
qm,m,b
qm,m,a
qm,m,a
qm,m,b
qm,m,a
qm,m,b
qm,m,a
qm,m,a
qm,m,b
qm,m,a
qm,m,a
qm,m,a
qm,m,b
qm,m,a
qm,m,a
q,m,b
q,m,a
q,m,b
q,m,a
q,m,b
dqm,m,a
dqm,m,a
dqm,m,b
dqm,m,b
dqm,m,a
cq,s,a
cq,s,a
cq,s,a
cq,s,a
cq,s,a
cq,s,a
cq,s,b
cq,s,a
cq,s,b
cq,s,a
cq,s,b
cq,s,a
cq,s,a
cq,s,a
cq,s,b
cq,s,a
cq,s,a
cq,s,b
cq,s,a
cq,s,b
cq,s,a
cq,s,a
cq,s,b
cq,s,b
cq,s,b
cq,s,a
cq,s,a
cq,s,a
cq,s,a
cq,s,b
cqm,s,a
cqm,s,a
cqm,s,b
cqm,s,b
cqm,s,b
q,s,a
q,s,a
q,s,a
q,s,a
q,s,b
cq,s,a
cq,s,b
cq,s,b
cq,s,a
cq,s,a
q,s,b
q,s,b
q,s,a
q,s,b
q,s,b
q,s,a
q,s,a
q,s,a
q,s,a
q,s,b
