18-spring-final0,18-spring-final1,18-spring-final2
a,a,a
d,d,d
d,d,d
a,d,a
a,c,a
d,d,d
c,c,c
d,d,d
b,b,b
d,b,b
c,c,c
b,b,b
b,b,b
b,b,b
b,b,b
c,c,c
e,e,e
a,e,e
a,e,e
c,c,c
b,b,b
e,e,e
c,c,c
c,c,c
d,d,d
b,c,b
b,b,b
d,d,d
b,b,b
b,b,b
b,b,b
b,b,b
b,b,b
b,b,e
e,e,e
c,c,c
b,d,c
d,d,d
e,e,e
e,e,e
c,c,c
a,a,a
c,c,c
c,c,c
b,b,b
a,a,a
c,b,b
d,c,b
d,d,d
c,c,c
a,b,b
d,d,d
b,b,b
d,d,d
c,c,c
c,c,d
d,d,d
c,c,c
d,d,d
a,a,a
c,c,c
e,e,e
e,a,e
e,e,e
e,b,b
c,c,c
b,e,e
b,b,b
c,c,a
a,a,a
c,c,c
c,c,c
c,c,c
c,c,c
a,a,a
b,b,b
b,a,e
b,c,a
b,c,a
a,a,a
