21-fall-final0,21-fall-final1,21-fall-final2,21-fall-final3,21-fall-final4
b,b,b,b,b
a,a,a,a,a
c,c,c,c,c
d,d,d,d,d
e,c,a,d,d
a,c,c,c,e
a,c,a,a,d
c,c,c,c,c
e,e,e,e,e
c,c,c,c,c
c,c,c,c,c
c,a,c,c,a
d,d,d,d,d
d,d,d,d,d
e,e,e,e,e
e,e,e,e,e
e,e,e,e,e
a,a,a,b,a
c,c,c,c,c
e,e,e,e,e
b,b,b,b,b
a,a,a,a,a
e,e,e,e,e
d,d,d,d,d
c,c,c,c,c
c,c,c,c,c
b,b,b,b,b
c,b,b,b,b
b,a,a,b,a
c,c,c,c,c
b,b,b,b,b
a,d,a,d,e
d,c,d,c,d
b,b,b,b,b
d,d,d,d,d
c,c,c,c,c
a,a,a,a,a
c,c,c,c,b
a,a,a,a,a
d,d,d,d,d
a,a,b,a,b
b,b,b,b,b
a,a,a,a,a
d,d,d,d,d
a,a,a,a,a
d,d,d,d,d
b,b,b,b,b
c,c,c,c,c
d,d,d,d,d
b,b,b,b,b
b,b,b,b,b
e,e,e,e,e
a,a,a,a,a
e,e,e,e,e
c,c,c,c,c
d,d,d,d,d
d,d,d,d,d
d,d,d,d,d
d,d,d,d,d
b,b,b,b,b
