18-spring-final0,18-spring-final1,18-spring-final2
a,a,a
a,d,a
a,a,a
d,a,d
c,c,c
e,e,e
c,c,c
d,d,d
c,c,b
e,e,e
c,c,c
b,b,b
b,b,b
b,b,b
b,b,b
c,c,c
e,e,e
d,c,c
c,e,e
c,c,c
b,b,b
e,e,e
c,c,c
c,c,c
d,d,d
b,b,b
b,b,b
d,d,d
b,b,b
b,b,b
b,b,b
b,b,b
b,b,b
b,b,b
e,e,e
c,c,c
c,c,c
c,c,c
b,b,b
e,e,e
c,c,c
a,a,a
c,c,c
d,d,d
b,b,b
a,a,a
c,c,c
c,c,c
d,d,d
c,d,d
b,b,b
d,d,d
b,b,b
d,d,d
b,b,b
c,c,c
c,d,c
c,c,c
b,b,b
a,a,a
c,c,c
f,e,f
e,e,a
a,a,e
a,a,a
c,c,c
e,e,e
b,b,b
b,b,b
b,b,b
d,d,d
c,c,c
c,c,c
c,c,c
a,a,a
b,b,b
e,e,e
a,a,a
a,a,a
a,a,a
