21-fall-final0,21-fall-final1,21-fall-final2,21-fall-final3,21-fall-final4
b,b,b,b,b
a,a,a,a,a
c,c,c,c,c
d,d,d,d,d
c,e,e,e,e
e,e,c,d,e
c,c,a,c,c
a,a,c,c,b
e,e,e,e,e
c,c,c,c,c
c,c,c,c,c
c,c,c,c,c
d,d,d,d,d
d,d,d,d,d
e,e,e,e,e
b,b,b,b,b
b,b,b,b,b
e,e,e,d,c
a,a,a,a,a
b,b,b,b,b
e,e,e,e,e
c,c,c,c,c
e,e,e,e,e
b,b,b,b,b
e,e,e,e,e
e,e,e,e,e
b,b,b,b,b
a,a,a,a,a
e,e,e,e,e
d,d,d,d,d
c,c,c,c,c
e,e,c,e,e
d,d,d,d,d
c,c,c,c,c
d,d,d,d,d
d,e,c,e,e
b,b,b,b,b
c,e,e,e,e
d,d,d,d,d
b,b,b,b,b
d,d,d,d,d
d,d,d,d,d
a,a,a,a,a
c,c,c,c,c
a,a,a,a,a
d,d,d,d,d
a,a,a,a,a
b,b,b,b,b
b,b,b,b,b
d,d,d,d,d
a,a,a,a,a
d,d,d,d,d
b,b,b,b,b
c,c,c,c,c
d,d,d,d,d
b,b,b,b,b
b,b,b,b,b
e,e,e,e,e
a,a,a,a,a
e,e,e,e,e
