18-spring-final0,18-spring-final1,18-spring-final2,18-spring-final3,18-spring-final4
a,a,a,a,a
d,d,d,a,d
a,a,a,a,a
a,a,a,a,a
c,d,d,d,c
c,e,c,c,d
c,c,c,c,c
d,d,d,d,d
c,c,c,c,c
e,d,e,e,e
c,c,c,c,c
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
b,b,d,b,a
e,e,e,e,e
a,a,e,a,e
d,d,d,d,d
c,c,c,c,c
b,b,e,b,b
b,b,b,b,b
e,e,e,d,e
b,b,b,b,b
d,c,d,d,d
c,c,b,c,c
d,d,c,c,c
c,c,d,c,c
a,a,a,a,b
b,b,b,b,b
e,e,e,e,e
a,a,a,a,a
b,b,b,b,b
e,c,e,e,e
c,c,c,c,c
e,d,e,e,a
d,e,b,d,d
b,c,a,a,b
c,b,c,c,c
b,b,b,b,b
e,e,e,e,e
a,c,a,a,a
c,c,c,c,c
d,d,d,d,d
b,b,b,b,b
b,b,b,b,b
e,e,e,d,d
b,b,b,b,b
b,b,d,b,b
b,b,b,b,b
a,b,b,a,a
b,b,b,b,b
b,a,e,b,b
e,d,d,d,d
c,c,c,c,c
d,c,d,c,c
c,d,c,d,b
b,b,b,b,b
e,e,e,e,e
d,d,d,d,d
b,b,b,b,b
c,c,d,d,c
d,d,d,d,d
b,b,b,b,b
b,b,b,b,b
c,c,c,c,c
c,d,c,b,d
d,e,d,d,e
c,c,d,d,d
a,a,a,a,a
d,d,d,d,d
e,b,b,e,b
d,d,d,d,d
c,b,c,c,c
c,c,c,c,c
d,d,d,d,d
c,c,c,c,c
b,a,a,a,b
a,a,a,a,a
c,c,c,c,c
e,e,e,e,e
