18-spring-final0,18-spring-final1,18-spring-final2
d,d,d
a,a,d
e,d,c
d,d,d
c,c,c
d,e,e
c,c,c
c,c,d
b,b,b
c,c,b
d,b,b
b,b,b
b,b,b
b,b,b
b,b,b
c,e,c
e,e,e
e,e,e
e,e,e
b,b,b
b,b,b
e,e,e
c,c,c
c,c,c
d,d,d
b,b,b
b,b,b
d,d,d
b,b,b
b,b,b
b,b,b
b,b,b
b,b,b
b,b,b
e,e,e
c,a,c
d,d,a
b,b,c
e,e,e
e,e,e
d,d,c
a,a,a
c,c,c
d,d,c
b,b,b
a,a,a
c,d,b
c,c,a
b,b,d
c,c,c
b,a,a
a,d,a
e,e,e
d,d,c
c,a,a
b,c,b
c,c,d
d,c,d
a,d,a
a,a,a
c,c,c
f,c,f
e,e,e
e,e,e
b,e,e
c,c,c
e,e,e
a,b,b
e,e,e
a,a,a
c,c,c
a,a,a
c,c,c
b,b,b
a,a,a
b,b,b
b,b,b
b,c,c
a,a,a
a,a,b
