18-spring-mid0,18-spring-mid1,18-spring-mid2
a,a,a
a,a,a
a,a,a
a,a,a
a,a,a
a,a,a
b,b,b
b,b,b
a,a,a
b,b,b
b,b,b
b,b,b
a,a,a
a,a,a
b,b,b
a,a,a
a,a,b
a,a,a
a,a,a
b,b,b
b,b,b
a,a,a
a,a,a
a,a,a
b,b,b
a,a,a
a,a,a
a,a,a
a,a,a
a,a,a
b,b,b
a,a,a
b,b,b
b,b,b
b,b,b
b,b,b
a,a,b
a,a,b
a,a,a
a,a,a
a,a,a
b,b,b
a,a,a
b,b,b
b,b,b
b,b,b
a,a,a
b,b,b
a,a,a
a,a,a
a,a,a
a,a,a
a,a,a
a,a,a
a,a,a
b,b,b
b,b,b
a,a,a
a,a,a
b,b,b
a,a,a
b,b,b
b,b,b
a,a,a
b,b,b
b,b,b
a,a,a
a,a,a
b,b,b
b,b,b
b,b,b
b,a,b
a,a,a
b,b,b
a,a,a
a,a,b
a,b,b
b,a,a
b,b,b
a,b,a
a,a,a
a,a,a
b,a,a
b,b,b
a,a,a
b,b,b
a,a,a
a,a,a
a,a,a
b,b,b
a,a,a
a,a,a
b,b,b
b,b,b
a,a,a
a,a,a
b,b,b
b,b,b
b,b,b
b,b,b
a,a,a
b,b,b
a,a,a
b,a,a
a,a,a
b,b,a
a,a,a
a,a,a
a,a,a
b,b,b
b,b,b
a,a,b
b,b,b
a,a,a
b,b,b
a,a,a
a,a,a
a,b,a
b,b,a
b,b,a
b,b,b
b,b,b
a,a,a
b,a,a
a,a,a
a,a,a
a,a,a
b,b,b
b,b,b
b,b,b
a,a,a
a,a,a
a,a,a
a,a,a
b,b,b
a,a,a
b,b,b
b,b,b
a,a,a
a,a,a
b,b,b
b,b,b
a,a,a
b,b,b
b,b,b
a,a,a
a,a,a
a,a,a
a,a,a
b,b,b
