18-spring-final0,18-spring-final1,18-spring-final2
e,e,d
d,c,a
a,a,d
d,d,d
d,d,d
c,c,c
c,c,c
d,d,d
d,c,c
e,e,d
b,b,b
b,b,b
b,b,b
b,b,b
b,b,b
c,c,c
e,e,e
d,e,d
e,e,d
c,c,c
b,b,b
e,e,e
c,c,c
c,c,c
d,d,d
b,b,b
b,b,b
d,d,d
b,b,b
b,b,b
b,b,b
b,b,b
b,b,b
b,b,b
d,d,e
c,c,c
c,c,c
b,b,b
e,e,e
e,e,e
c,c,c
a,c,b
b,c,c
c,c,c
b,c,b
a,b,b
b,b,b
b,c,c
d,d,d
d,c,c
b,b,b
d,d,d
b,b,b
d,d,d
a,b,a
b,c,b
d,c,c
c,c,c
b,a,a
d,d,d
c,c,c
f,f,f
e,e,e
e,e,e
d,d,d
c,c,c
e,e,e
b,b,b
c,b,c
b,b,b
c,c,c
c,c,c
c,c,c
c,d,c
a,a,a
b,b,b
b,b,b
b,a,b
b,b,b
a,b,b
