18-spring-final0,18-spring-final1,18-spring-final2,18-spring-final3,18-spring-final4
d,b,b,b,a
d,b,b,b,d
b,b,b,b,b
b,b,b,b,b
c,c,c,c,c
c,c,c,d,c
c,c,c,c,c
e,e,e,e,e
c,c,c,c,c
b,e,b,b,b
b,c,b,b,b
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
a,a,b,b,a
c,c,c,c,b
a,a,a,b,a
c,a,c,a,c
c,c,b,a,b
b,b,b,b,b
e,e,e,e,e
c,c,c,c,c
c,c,c,c,c
d,d,d,d,d
c,c,c,c,c
b,b,b,b,b
d,d,d,d,d
b,b,b,b,b
b,b,b,b,b
d,d,b,c,b
b,b,b,b,b
b,a,a,a,a
b,b,b,b,b
e,e,e,e,c
c,c,c,a,c
e,a,c,b,b
c,d,d,d,d
b,b,b,b,b
e,e,e,e,e
b,b,b,b,b
a,a,a,a,a
c,c,c,c,c
b,c,b,b,b
a,a,a,b,a
e,e,e,a,e
c,b,c,c,b
c,b,b,b,b
d,d,d,d,d
c,c,c,c,c
a,a,b,a,b
d,d,d,d,d
b,b,b,b,b
d,d,d,d,d
c,c,c,c,c
b,c,c,c,c
c,c,c,c,c
b,b,b,b,b
b,b,b,b,b
d,d,d,d,a
c,c,c,c,c
d,d,d,c,c
a,b,a,a,a
e,e,e,c,e
d,d,d,d,d
c,c,c,c,c
a,a,a,e,e
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
c,b,c,c,e
b,a,b,b,b
d,d,d,d,d
c,c,c,c,c
b,b,b,b,b
b,b,b,b,b
b,b,b,c,b
b,c,a,b,c
c,a,b,c,b
a,c,c,a,a
