18-spring-final0,18-spring-final1,18-spring-final2,18-spring-final3,18-spring-final4
d,e,c,c,d
e,a,d,b,c
c,e,e,d,a
b,d,d,b,d
d,e,d,c,e
d,d,d,d,d
c,c,c,c,c
d,c,d,c,c
b,b,b,b,b
c,e,c,c,c
b,b,c,b,b
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
c,c,c,c,c
e,e,e,e,e
d,e,d,b,e
b,a,e,c,e
c,b,b,c,c
b,b,b,b,b
e,e,e,e,e
c,c,c,c,c
c,c,c,c,c
d,d,d,d,d
b,b,b,b,b
b,b,b,b,b
c,c,c,c,c
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
b,b,b,b,b
e,c,e,e,e
c,c,c,c,c
d,c,c,b,d
b,c,c,c,b
e,e,e,e,e
e,e,e,e,e
c,c,c,d,c
a,a,a,a,a
d,c,c,c,c
d,c,c,b,c
b,b,b,b,b
a,a,a,a,a
c,b,b,b,b
b,c,d,b,c
d,d,d,d,d
d,d,d,c,c
b,a,b,a,b
d,d,d,d,d
e,b,e,e,e
d,d,d,d,d
a,a,a,a,b
c,b,d,c,c
c,d,b,c,c
c,c,c,d,c
a,a,a,a,a
a,a,a,a,a
c,c,c,c,c
c,c,c,c,c
e,e,e,a,e
e,e,e,e,e
b,b,b,b,b
c,c,c,c,c
e,e,e,e,e
a,a,b,b,b
e,e,b,b,e
b,b,b,a,a
c,c,e,c,c
a,a,a,a,a
c,c,c,c,c
a,b,a,b,a
a,a,a,a,a
b,b,b,b,b
b,b,b,b,b
b,c,c,b,b
a,a,a,b,b
a,a,a,a,a
